../Makin/Makin_origin_npy/ batch size 128 epochs 50 sequence len256
train average loss, train average r2 score
0.6674, 0.2783
0.4542, 0.5145
0.3651, 0.6056
0.3175, 0.6590
0.2858, 0.6923
0.2685, 0.7097
0.2515, 0.7298
0.2433, 0.7399
0.2301, 0.7520
0.2208, 0.7626
0.2128, 0.7712
0.2087, 0.7729
0.2019, 0.7832
0.1963, 0.7877
0.1951, 0.7885
0.1878, 0.7978
0.1825, 0.8033
0.1780, 0.8065
0.1735, 0.8124
0.1718, 0.8136
0.1668, 0.8204
0.1633, 0.8225
0.1605, 0.8244
0.1589, 0.8285
0.1581, 0.8304
0.1541, 0.8335
0.1524, 0.8369
0.1501, 0.8383
0.1471, 0.8418
0.1494, 0.8391
0.1431, 0.8461
0.1413, 0.8480
0.1398, 0.8491
0.1367, 0.8520
0.1365, 0.8525
0.1342, 0.8555
0.1322, 0.8576
0.1294, 0.8602
0.1293, 0.8595
0.1290, 0.8605
0.1253, 0.8648
0.1237, 0.8666
0.1224, 0.8678
0.1210, 0.8698
0.1191, 0.8707
0.1188, 0.8715
0.1188, 0.8723
0.1167, 0.8738
0.1140, 0.8763
0.1130, 0.8777
test loss, test r2 score
0.1835, 0.8088
../Makin/Makin_processed_npy/batch size128epochs50 sequence len256
train average loss, train average r2 score
0.6905, 0.2800
0.4712, 0.5097
0.3860, 0.5989
0.3254, 0.6618
0.2959, 0.6926
0.2734, 0.7155
0.2588, 0.7305
0.2460, 0.7442
0.2345, 0.7559
0.2275, 0.7635
0.2181, 0.7732
0.2098, 0.7815
0.2047, 0.7876
0.1966, 0.7958
0.1930, 0.7995
0.1902, 0.8028
0.1849, 0.8074
0.1795, 0.8137
0.1748, 0.8185
0.1723, 0.8211
0.1694, 0.8236
0.1666, 0.8273
0.1631, 0.8305
0.1616, 0.8312
0.1567, 0.8365
0.1541, 0.8397
0.1520, 0.8418
0.1487, 0.8448
0.1457, 0.8483
0.1450, 0.8487
0.1445, 0.8493
0.1406, 0.8531
0.1384, 0.8563
0.1369, 0.8575
0.1338, 0.8606
0.1339, 0.8605
0.1319, 0.8622
0.1295, 0.8648
0.1283, 0.8665
0.1266, 0.8681
0.1250, 0.8694
0.1230, 0.8715
0.1212, 0.8733
0.1210, 0.8741
0.1191, 0.8753
0.1179, 0.8764
0.1183, 0.8763
0.1154, 0.8789
0.1143, 0.8808
0.1139, 0.8808
test loss, test r2 score
0.1821, 0.8099
../Makin/Makin_processed_npy/batch size128epochs50



../Makin/Makin_processed_npy/batch size128epochs50
train average loss, train average r2 score
0.6905, 0.2800
0.4712, 0.5097
0.3860, 0.5989
0.3254, 0.6618
0.2959, 0.6926
0.2734, 0.7155
0.2588, 0.7305
0.2460, 0.7442
0.2345, 0.7559
0.2275, 0.7635
0.2181, 0.7732
0.2098, 0.7815
0.2047, 0.7876
0.1966, 0.7958
0.1930, 0.7995
